[Thu Sep 12 12:40:55 UTC 2024] MrRavi | Location: X: -1082 Y: 94 Z: -1737 | Line: 0 | 
[Thu Sep 12 12:40:55 UTC 2024] MrRavi | Location: X: -1082 Y: 94 Z: -1737 | Line: 1 | 
[Thu Sep 12 12:40:55 UTC 2024] MrRavi | Location: X: -1082 Y: 94 Z: -1737 | Line: 2 | 
[Thu Sep 12 12:40:55 UTC 2024] MrRavi | Location: X: -1082 Y: 94 Z: -1737 | Line: 3 | 
[Sun Sep 15 08:58:06 UTC 2024] Smaayloo | Location: X: -1284 Y: 145 Z: -1730 | Line: 0 | 
[Sun Sep 15 08:58:06 UTC 2024] Smaayloo | Location: X: -1284 Y: 145 Z: -1730 | Line: 1 | 
[Sun Sep 15 08:58:06 UTC 2024] Smaayloo | Location: X: -1284 Y: 145 Z: -1730 | Line: 2 | 
[Sun Sep 15 08:58:06 UTC 2024] Smaayloo | Location: X: -1284 Y: 145 Z: -1730 | Line: 3 | 
[Sun Sep 15 08:58:10 UTC 2024] Smaayloo | Location: X: -1283 Y: 145 Z: -1730 | Line: 0 | 
[Sun Sep 15 08:58:10 UTC 2024] Smaayloo | Location: X: -1283 Y: 145 Z: -1730 | Line: 1 | 
[Sun Sep 15 08:58:10 UTC 2024] Smaayloo | Location: X: -1283 Y: 145 Z: -1730 | Line: 2 | 
[Sun Sep 15 08:58:10 UTC 2024] Smaayloo | Location: X: -1283 Y: 145 Z: -1730 | Line: 3 | 
[Sun Sep 15 08:59:02 UTC 2024] Smaayloo | Location: X: -1282 Y: 145 Z: -1731 | Line: 0 | 
[Sun Sep 15 08:59:02 UTC 2024] Smaayloo | Location: X: -1282 Y: 145 Z: -1731 | Line: 1 | 
[Sun Sep 15 08:59:02 UTC 2024] Smaayloo | Location: X: -1282 Y: 145 Z: -1731 | Line: 2 | 
[Sun Sep 15 08:59:02 UTC 2024] Smaayloo | Location: X: -1282 Y: 145 Z: -1731 | Line: 3 | 
[Sun Sep 15 08:59:05 UTC 2024] Smaayloo | Location: X: -1282 Y: 145 Z: -1732 | Line: 0 | 
[Sun Sep 15 08:59:05 UTC 2024] Smaayloo | Location: X: -1282 Y: 145 Z: -1732 | Line: 1 | 
[Sun Sep 15 08:59:05 UTC 2024] Smaayloo | Location: X: -1282 Y: 145 Z: -1732 | Line: 2 | 
[Sun Sep 15 08:59:05 UTC 2024] Smaayloo | Location: X: -1282 Y: 145 Z: -1732 | Line: 3 | 
[Sun Sep 15 08:59:37 UTC 2024] Smaayloo | Location: X: -1283 Y: 145 Z: -1733 | Line: 0 | 
[Sun Sep 15 08:59:37 UTC 2024] Smaayloo | Location: X: -1283 Y: 145 Z: -1733 | Line: 1 | 
[Sun Sep 15 08:59:37 UTC 2024] Smaayloo | Location: X: -1283 Y: 145 Z: -1733 | Line: 2 | 
[Sun Sep 15 08:59:37 UTC 2024] Smaayloo | Location: X: -1283 Y: 145 Z: -1733 | Line: 3 | 
[Sun Sep 15 08:59:44 UTC 2024] Smaayloo | Location: X: -1284 Y: 145 Z: -1733 | Line: 0 | 
[Sun Sep 15 08:59:44 UTC 2024] Smaayloo | Location: X: -1284 Y: 145 Z: -1733 | Line: 1 | 
[Sun Sep 15 08:59:44 UTC 2024] Smaayloo | Location: X: -1284 Y: 145 Z: -1733 | Line: 2 | 
[Sun Sep 15 08:59:44 UTC 2024] Smaayloo | Location: X: -1284 Y: 145 Z: -1733 | Line: 3 | 
[Sun Sep 15 08:59:49 UTC 2024] Smaayloo | Location: X: -1285 Y: 145 Z: -1731 | Line: 0 | 
[Sun Sep 15 08:59:49 UTC 2024] Smaayloo | Location: X: -1285 Y: 145 Z: -1731 | Line: 1 | 
[Sun Sep 15 08:59:49 UTC 2024] Smaayloo | Location: X: -1285 Y: 145 Z: -1731 | Line: 2 | 
[Sun Sep 15 08:59:49 UTC 2024] Smaayloo | Location: X: -1285 Y: 145 Z: -1731 | Line: 3 | 
[Sun Sep 15 08:59:55 UTC 2024] Smaayloo | Location: X: -1285 Y: 145 Z: -1732 | Line: 0 | 
[Sun Sep 15 08:59:55 UTC 2024] Smaayloo | Location: X: -1285 Y: 145 Z: -1732 | Line: 1 | 
[Sun Sep 15 08:59:55 UTC 2024] Smaayloo | Location: X: -1285 Y: 145 Z: -1732 | Line: 2 | 
[Sun Sep 15 08:59:55 UTC 2024] Smaayloo | Location: X: -1285 Y: 145 Z: -1732 | Line: 3 | 
[Sun Sep 15 09:00:00 UTC 2024] Smaayloo | Location: X: -1284 Y: 145 Z: -1730 | Line: 0 | 
[Sun Sep 15 09:00:00 UTC 2024] Smaayloo | Location: X: -1284 Y: 145 Z: -1730 | Line: 1 | 
[Sun Sep 15 09:00:00 UTC 2024] Smaayloo | Location: X: -1284 Y: 145 Z: -1730 | Line: 2 | 
[Sun Sep 15 09:00:00 UTC 2024] Smaayloo | Location: X: -1284 Y: 145 Z: -1730 | Line: 3 | 
[Sun Sep 15 09:00:03 UTC 2024] Smaayloo | Location: X: -1283 Y: 145 Z: -1730 | Line: 0 | 
[Sun Sep 15 09:00:03 UTC 2024] Smaayloo | Location: X: -1283 Y: 145 Z: -1730 | Line: 1 | 
[Sun Sep 15 09:00:03 UTC 2024] Smaayloo | Location: X: -1283 Y: 145 Z: -1730 | Line: 2 | 
[Sun Sep 15 09:00:03 UTC 2024] Smaayloo | Location: X: -1283 Y: 145 Z: -1730 | Line: 3 | 
[Sun Sep 15 09:02:11 UTC 2024] Smaayloo | Location: X: -1284 Y: 144 Z: -1732 | Line: 0 | 
[Sun Sep 15 09:02:11 UTC 2024] Smaayloo | Location: X: -1284 Y: 144 Z: -1732 | Line: 1 | 
[Sun Sep 15 09:02:11 UTC 2024] Smaayloo | Location: X: -1284 Y: 144 Z: -1732 | Line: 2 | 
[Sun Sep 15 09:02:11 UTC 2024] Smaayloo | Location: X: -1284 Y: 144 Z: -1732 | Line: 3 | 
[Sun Sep 15 09:02:17 UTC 2024] Smaayloo | Location: X: -1283 Y: 144 Z: -1732 | Line: 0 | 
[Sun Sep 15 09:02:17 UTC 2024] Smaayloo | Location: X: -1283 Y: 144 Z: -1732 | Line: 1 | 
[Sun Sep 15 09:02:17 UTC 2024] Smaayloo | Location: X: -1283 Y: 144 Z: -1732 | Line: 2 | 
[Sun Sep 15 09:02:17 UTC 2024] Smaayloo | Location: X: -1283 Y: 144 Z: -1732 | Line: 3 | 
[Sun Sep 15 09:02:20 UTC 2024] Smaayloo | Location: X: -1282 Y: 145 Z: -1732 | Line: 0 | 
[Sun Sep 15 09:02:20 UTC 2024] Smaayloo | Location: X: -1282 Y: 145 Z: -1732 | Line: 1 | 
[Sun Sep 15 09:02:20 UTC 2024] Smaayloo | Location: X: -1282 Y: 145 Z: -1732 | Line: 2 | 
[Sun Sep 15 09:02:20 UTC 2024] Smaayloo | Location: X: -1282 Y: 145 Z: -1732 | Line: 3 | 
[Sun Sep 15 09:02:26 UTC 2024] Smaayloo | Location: X: -1283 Y: 144 Z: -1731 | Line: 0 | w
[Sun Sep 15 09:02:26 UTC 2024] Smaayloo | Location: X: -1283 Y: 144 Z: -1731 | Line: 1 | 
[Sun Sep 15 09:02:26 UTC 2024] Smaayloo | Location: X: -1283 Y: 144 Z: -1731 | Line: 2 | 
[Sun Sep 15 09:02:26 UTC 2024] Smaayloo | Location: X: -1283 Y: 144 Z: -1731 | Line: 3 | 
[Sun Sep 15 09:02:45 UTC 2024] Smaayloo | Location: X: -1284 Y: 144 Z: -1731 | Line: 0 | 
[Sun Sep 15 09:02:45 UTC 2024] Smaayloo | Location: X: -1284 Y: 144 Z: -1731 | Line: 1 | 
[Sun Sep 15 09:02:45 UTC 2024] Smaayloo | Location: X: -1284 Y: 144 Z: -1731 | Line: 2 | 
[Sun Sep 15 09:02:45 UTC 2024] Smaayloo | Location: X: -1284 Y: 144 Z: -1731 | Line: 3 | 
[Sun Sep 15 09:03:03 UTC 2024] Smaayloo | Location: X: -1283 Y: 143 Z: -1731 | Line: 0 | 
[Sun Sep 15 09:03:03 UTC 2024] Smaayloo | Location: X: -1283 Y: 143 Z: -1731 | Line: 1 | 
[Sun Sep 15 09:03:03 UTC 2024] Smaayloo | Location: X: -1283 Y: 143 Z: -1731 | Line: 2 | 
[Sun Sep 15 09:03:03 UTC 2024] Smaayloo | Location: X: -1283 Y: 143 Z: -1731 | Line: 3 | 
[Sat Sep 21 06:42:50 UTC 2024] MrRavi | Location: X: -1032 Y: 92 Z: -1753 | Line: 0 | 
[Sat Sep 21 06:42:50 UTC 2024] MrRavi | Location: X: -1032 Y: 92 Z: -1753 | Line: 1 | 
[Sat Sep 21 06:42:50 UTC 2024] MrRavi | Location: X: -1032 Y: 92 Z: -1753 | Line: 2 | 
[Sat Sep 21 06:42:50 UTC 2024] MrRavi | Location: X: -1032 Y: 92 Z: -1753 | Line: 3 | 
[Sun Sep 22 03:50:42 UTC 2024] Smaayloo | Location: X: -1065 Y: 83 Z: -1800 | Line: 0 | 
[Sun Sep 22 03:50:42 UTC 2024] Smaayloo | Location: X: -1065 Y: 83 Z: -1800 | Line: 1 | 
[Sun Sep 22 03:50:42 UTC 2024] Smaayloo | Location: X: -1065 Y: 83 Z: -1800 | Line: 2 | 
[Sun Sep 22 03:50:42 UTC 2024] Smaayloo | Location: X: -1065 Y: 83 Z: -1800 | Line: 3 | 
[Sun Sep 22 03:50:43 UTC 2024] Smaayloo | Location: X: -1065 Y: 84 Z: -1800 | Line: 0 | 
[Sun Sep 22 03:50:43 UTC 2024] Smaayloo | Location: X: -1065 Y: 84 Z: -1800 | Line: 1 | 
[Sun Sep 22 03:50:43 UTC 2024] Smaayloo | Location: X: -1065 Y: 84 Z: -1800 | Line: 2 | 
[Sun Sep 22 03:50:43 UTC 2024] Smaayloo | Location: X: -1065 Y: 84 Z: -1800 | Line: 3 | 
[Sun Sep 22 04:05:14 UTC 2024] Smaayloo | Location: X: -1065 Y: 49 Z: -1795 | Line: 0 | 
[Sun Sep 22 04:05:14 UTC 2024] Smaayloo | Location: X: -1065 Y: 49 Z: -1795 | Line: 1 | 
[Sun Sep 22 04:05:14 UTC 2024] Smaayloo | Location: X: -1065 Y: 49 Z: -1795 | Line: 2 | 
[Sun Sep 22 04:05:14 UTC 2024] Smaayloo | Location: X: -1065 Y: 49 Z: -1795 | Line: 3 | 
[Sun Sep 22 04:05:14 UTC 2024] Smaayloo | Location: X: -1065 Y: 48 Z: -1795 | Line: 0 | 
[Sun Sep 22 04:05:14 UTC 2024] Smaayloo | Location: X: -1065 Y: 48 Z: -1795 | Line: 1 | 
[Sun Sep 22 04:05:14 UTC 2024] Smaayloo | Location: X: -1065 Y: 48 Z: -1795 | Line: 2 | 
[Sun Sep 22 04:05:14 UTC 2024] Smaayloo | Location: X: -1065 Y: 48 Z: -1795 | Line: 3 | 
[Sun Sep 22 04:18:58 UTC 2024] Smaayloo | Location: X: -1069 Y: 75 Z: -1794 | Line: 0 | ssss
[Sun Sep 22 04:18:58 UTC 2024] Smaayloo | Location: X: -1069 Y: 75 Z: -1794 | Line: 1 | 
[Sun Sep 22 04:18:58 UTC 2024] Smaayloo | Location: X: -1069 Y: 75 Z: -1794 | Line: 2 | 
[Sun Sep 22 04:18:58 UTC 2024] Smaayloo | Location: X: -1069 Y: 75 Z: -1794 | Line: 3 | 
[Sun Sep 22 04:37:02 UTC 2024] Smaayloo | Location: X: -1065 Y: 75 Z: -1798 | Line: 0 | ss
